,name,role,club,games-started,minutes-played,clean-sheets,goals-conceded,defensive-contribution,bonus,ict-index,saves,assists,penalties-saved,points,red-cards,own-goals,goals-scored,current-price,season_year,Performance
254,Alejandro Garnacho Ferreyra,Midfielder,Man Utd,23,2188,5,36,161,7,188.3,0,4,0,106,0,0,6,6.5,2025,29.0
255,Alejandro Garnacho Ferreyra,Midfielder,Man Utd,30,2564,8,39,0,7,224.3,0,7,0,131,0,0,7,6.5,2024,30.0
256,Alejandro Garnacho Ferreyra,Midfielder,Man Utd,5,557,0,13,0,0,50.7,0,2,0,39,0,0,3,6.5,2023,-11.0
257,Sandro Tonali,Midfielder,Newcastle,28,2625,11,34,303,10,133.5,0,2,0,106,0,0,4,5.5,2025,80.0
258,Sandro Tonali,Midfielder,Newcastle,5,437,1,5,0,0,23.8,0,0,0,16,0,0,1,5.5,2024,1.0
259,Mohammed Kudus,Midfielder,Spurs,31,2589,7,46,189,5,177.5,0,4,0,106,1,0,5,6.5,2025,12.0
260,Mohammed Kudus,Midfielder,Spurs,27,2485,3,61,0,13,170.8,0,9,0,137,0,0,8,6.5,2024,-14.0
261,James Tarkowski,Defender,Everton,33,2922,10,38,356,8,126.9,0,1,0,105,0,0,1,5.5,2025,67.0
262,James Tarkowski,Defender,Everton,38,3420,13,51,0,10,150.9,0,1,0,117,0,0,1,5.5,2024,29.0
263,James Tarkowski,Defender,Everton,38,3420,9,57,0,13,167.0,0,1,0,106,0,0,1,5.5,2023,9.0
264,Phil Foden,Midfielder,Man City,20,1771,6,24,91,10,164.2,0,3,0,105,0,0,7,8.0,2025,55.0
265,Phil Foden,Midfielder,Man City,33,2860,14,27,0,31,348.8,0,8,0,230,0,0,19,8.0,2024,177.0
266,Phil Foden,Midfielder,Man City,22,1832,5,16,0,15,210.9,0,7,0,142,0,0,11,8.0,2023,86.0
267,Tino Livramento,Defender,Newcastle,32,2835,10,40,182,6,110.1,0,1,0,105,0,0,0,5.0,2025,37.0
268,Tino Livramento,Defender,Newcastle,12,1302,2,27,0,4,58.4,0,0,0,45,0,0,1,5.0,2024,-15.0
270,Pedro Lomba Neto,Midfielder,Chelsea,24,2262,8,25,119,9,180.0,0,6,0,104,0,0,4,7.0,2025,66.0
271,Pedro Lomba Neto,Midfielder,Chelsea,18,1516,3,27,0,8,135.5,0,11,0,86,0,0,2,7.0,2024,20.0
272,Pedro Lomba Neto,Midfielder,Chelsea,13,962,5,15,0,0,60.9,0,2,0,37,0,0,0,7.0,2023,6.0
273,Ezri Konsa Ngoyo,Defender,Aston Villa,33,2936,8,45,176,10,82.4,0,0,0,103,0,0,2,4.5,2025,32.0
274,Ezri Konsa Ngoyo,Defender,Aston Villa,35,3069,7,54,0,7,95.0,0,1,0,91,0,0,1,4.5,2024,-16.0
275,Ezri Konsa Ngoyo,Defender,Aston Villa,37,3322,12,45,0,6,75.7,0,0,0,110,0,0,0,4.5,2023,21.0
276,Bart Verbruggen,Goalkeeper,Brighton,36,3240,7,58,0,6,85.8,91,1,0,103,0,0,0,4.5,2025,66.0
277,Bart Verbruggen,Goalkeeper,Brighton,21,1890,4,28,0,7,54.3,65,0,0,68,0,0,0,4.5,2024,72.0
278,Callum Hudson-Odoi,Midfielder,Nott'm Forest,25,2190,11,23,139,7,151.0,0,3,0,103,0,0,5,6.0,2025,75.0
279,Callum Hudson-Odoi,Midfielder,Nott'm Forest,20,1846,2,41,0,14,145.0,0,2,0,109,0,0,8,6.0,2024,9.0
280,Yankuba Minteh,Midfielder,Brighton,20,1831,4,33,172,8,159.1,0,5,0,102,0,0,6,6.0,2025,32.0
281,Nick Pope,Goalkeeper,Newcastle,28,2520,8,35,0,2,67.4,88,0,1,102,0,0,0,5.0,2025,98.0
282,Nick Pope,Goalkeeper,Newcastle,15,1345,6,16,0,1,32.7,43,0,0,57,0,0,0,5.0,2024,57.0
283,Nick Pope,Goalkeeper,Newcastle,37,3261,14,32,0,14,72.9,87,0,2,157,1,0,0,5.0,2023,177.0
284,Lewis Hall,Defender,Newcastle,24,2188,8,31,145,11,125.3,0,7,0,102,0,0,0,5.5,2025,58.0
285,Lewis Hall,Defender,Newcastle,8,773,2,12,0,3,34.9,0,0,0,38,0,0,1,5.5,2024,6.0
286,Lewis Hall,Defender,Newcastle,8,653,1,11,0,3,48.8,0,0,0,19,0,0,0,5.5,2023,-0.0
287,Joelinton Cássio Apolinário de Lira,Midfielder,Newcastle,29,2394,10,32,282,11,132.7,0,4,0,99,0,0,4,6.0,2025,80.0
288,Joelinton Cássio Apolinário de Lira,Midfielder,Newcastle,15,1276,3,23,0,3,81.6,0,1,0,45,0,0,2,6.0,2024,-4.0
289,Joelinton Cássio Apolinário de Lira,Midfielder,Newcastle,30,2660,11,26,0,10,167.3,0,5,0,115,0,0,6,6.0,2023,73.0
290,Moisés Caicedo Corozo,Midfielder,Chelsea,38,3351,12,42,455,4,129.2,0,4,0,98,0,0,1,5.5,2025,71.0
291,Moisés Caicedo Corozo,Midfielder,Chelsea,33,2865,7,50,0,6,108.2,0,3,0,84,0,0,1,5.5,2024,-12.0
292,Moisés Caicedo Corozo,Midfielder,Chelsea,34,3138,10,47,0,0,148.2,0,1,0,79,0,0,1,5.5,2023,-11.0
293,Pedro Porro Sauceda,Defender,Spurs,28,2606,6,47,192,6,191.2,0,6,0,98,0,0,2,5.5,2025,13.0
294,Pedro Porro Sauceda,Defender,Spurs,35,3090,7,54,0,20,208.5,0,8,0,136,0,0,3,5.5,2024,38.0
